userName,score,at,content
Yesa restu akbarani Yesa restu akbarani,1,2024-09-29 06:16:26,apa apaan gabisa masuk sama sekali kode nya ga masuk' bikin capek!
Amrijal Hakiki,3,2024-09-29 06:13:15,Kode verifikasi nya sangaaaatttt susah di dapat.
Nabila Putri,1,2024-09-29 06:12:36,Log-in ke no nya susah udh dapet kode nya malah ada mslh internal
Sherin Azzahra,1,2024-09-29 06:10:04,"daftar nya susah, padahal udh di taruh nomor yang baru."
Ricky Ahmad,1,2024-09-29 06:08:36,Saya mau log in tidak menerima privikasinya mau di email atau pun di SMS tetep tidak ada
XyzUriel,5,2024-09-29 06:08:18,Rispek buat owner
Arifmaulana Ichsan,1,2024-09-29 05:58:13,"Selain gabisa login ke akun lama, login barupun gabisa. Dah coba di 3 nomer yg berbeda Ttp gabisa."
Melyn Ryunai,1,2024-09-29 05:57:07,"Terimakasih sekali karena aplikasi ini tidak bisa digunakan. Untuk verifikasi kode via sms tidak bisa, untuk layanan panggilan juga tidak bisa. Semoga kedepannya ditambahkan lagi untuk verifikasi email menjadi tidak bisa saja. Dan jika ada bug seperti ini gak usah ditanggapi aja oleh pengembang. Terimakasih karena tidak menanggapi bug yang terjadi.... Lanjutkan"
Rohman R,1,2024-09-29 05:51:49,Login susah
vraboo ronggo,1,2024-09-29 05:51:25,Tiba tiba tidak bisa komen di group
Wildan Ristian,1,2024-09-29 05:43:24,"Login pake no lama susah, log in pake no baru juga gak bisa aneh"
Cuanki Baso,5,2024-09-29 05:37:08,🌷
Zaenal Kokyu,2,2024-09-29 05:26:21,Gabisa di buka co kode nya gk keluar² pdhal nomor dh bener
Maharjuna sansiro,4,2024-09-29 05:25:54,Akun Telegram tidak aman...di hack.
R fLy,1,2024-09-29 05:21:18,Aplikasi g safety
Nagisa Plays,3,2024-09-29 05:14:52,The customer services are in beauty sleep? no response at all until now
Mr JONG,1,2024-09-29 05:07:45,susah login.. keterangan kesalahan internal
deri gilang s,3,2024-09-29 04:55:02,"tolong lah buat pihak telegram, saya pengguna lama cuman tidak pernah top up, begitu saya beli star, di e-money sudah terkirim saldonha sudab berkudang, tapi bacaan di telegram nya malah gada jaringan, terus star nya ga masuk, malasah saldo e-money nya saja yang hilang, mohon bantuannya, terimakasih"
Nilna Nura Millah,1,2024-09-29 04:50:21,susah login
Fajri M,1,2024-09-29 04:47:18,ini gmnaa sii saya tungguin seharian kok kode nya ngga muncul² telegram sekarang bobrok
Nauffal Abyan,1,2024-09-29 04:41:48,Code verifikasi tidak terkirim kirim aneh
Edy Siswoyo,5,2024-09-29 04:39:38,Telegram luar biasa
Szann KFB,1,2024-09-29 04:35:47,Login susah
Ci Gun,1,2024-09-29 04:35:38,Sebelum saya mendapatkan kode verifikasi tidak akan saya merubah bintang nya
Darwis Darwis,1,2024-09-29 04:34:17,"Apa apaan dah, udah di kirim no telepon baru masih aja kode verifikasinya gk adaa"
Yasipa Abdullah,1,2024-09-29 04:32:31,Parah bangeeet susah log in
Agung Bayu Permana,1,2024-09-29 04:26:01,"Woy kga bisa masuk pas kode otp kga dikirim2, kocak bug dari lama kga dibenerin2"
Irna Wati,1,2024-09-29 04:24:02,apk nya gk jelas padahl gw dH masukin nomor lama bangt kode nya jangan di pke dh apk jdi gw kasih bita satu apk nya gj
Ali Muamar Ahmadi,2,2024-09-29 04:21:53,Saya kesulitan login dengan akun saya
Ayu Sagita,5,2024-09-29 04:20:07,Ok aj
Tyas distyana,1,2024-09-29 03:55:23,gabisa log in! ga dapet kode verifikasi!
Anita Dwi yulianti,2,2024-09-29 03:51:37,Hallo telegram saya download aplikasi telegram tetapi tidak bisa masuk karena terlalu banyak mencoba sepertinya itu sampai kapan ya sudah hampir 1 bulan tidak bisa log in saya kirim email ke telegram tapi tidak di jawab bagaimana ya
Nayla Saqie,1,2024-09-29 03:45:45,suka ngelag anjay
Sri Handayani,5,2024-09-29 03:42:18,Yapss bgs
Intan Silviana Putri,1,2024-09-29 03:29:19,aplikasi najis
Intan Aprian,4,2024-09-29 03:27:27,Kenapa ya kode otp saya tidak muncul jadi aplikasinya tidak bisa digunakan
Ridho Yudi,5,2024-09-29 03:19:18,Baik
Yurni Azhari,1,2024-09-29 03:17:50,Aplikasi jelek setiap dowland vidio selalu hilang sendiri 👎
Ervan Ipank,4,2024-09-29 03:08:17,ok
Ahmad nur fajri,5,2024-09-29 03:08:14,bagus banget
Davin Raditya,1,2024-09-29 03:05:10,kodenya ngga muncul
alivia p,1,2024-09-29 02:59:35,login nya skrg kok susah amat kita perlu tele buat kerja g ush nyusahin gunanya apk biar hal makin mudah g makin sulit.
Am R,1,2024-09-29 02:55:24,Mengapa telegram saya g bisa di buka harus menggunakan PIN padahal tidak pernah di kasih pin untuk buka Di delete dan di install lagi sama tetap tidak bisa harus menggunakan PIN lagi 😭😭😭😭😭
talinggarselamita,1,2024-09-29 02:51:17,Login nya susah bangettt!!!
Ilham kurniawan,2,2024-09-29 02:44:07,Code gak bisa masuk payah
Aulia Megaputri,5,2024-09-29 02:28:21,Mantap
Adam Dwi andika,1,2024-09-29 02:22:20,Apk rusak saya udah tunggu lama tapi tidak ada panggilan kode nya
Gary Talita Nissa,1,2024-09-29 02:16:38,Susah sekali mengunakan nyaa
Nur Irfansyah,1,2024-09-29 02:06:50,Masuk'a susah sekrng.
Yudha Prananda Yudha,1,2024-09-29 02:06:46,"Uda pernah download cuman di hapus lgi karena code verifikasi nya gk muncul"" tolong buat developer gimana caranya agar code keluar"
Shalune,5,2024-09-29 02:05:09,Bgus
Yuni Ihda,5,2024-09-29 02:03:59,Senang
Lorensya Ayu,1,2024-09-29 01:58:52,Buruk banget sih telegram skrg. Mau login aja ga bisa keluar kode OTP nya padahal kartu aktif dan sinyal bagus. Udah dicoba berulang2 tetep gabisa. Buruk banget
Rifqi Al muhaimin,1,2024-09-29 01:39:22,loginnya sering error
muhammad asril,1,2024-09-29 01:35:53,woiii telegram gimana sih SMSNYA MANNA KAGADA MASUK MASUK NOMOR UDAH BENER
Fahri Azmi,1,2024-09-29 01:24:33,ga bisa daftar
Iyus Ruslan Xll-MIPA 2,1,2024-09-29 01:16:52,Kode otp lama muncul
Sarep Buet,1,2024-09-29 01:16:43,ketipu
Winarti,1,2024-09-29 01:15:04,"I want to log in but it's very difficult. I've entered a new number but still haven't received a verification code. Please send the code via SMS only, don't send it via another device."
Linggar Dwi Cahyo,1,2024-09-29 01:12:20,"Ga bisa login, masa kode verifikasi gak dikirim kirim padahal udah hampir 1 bulan saya mau login tapi nggak bisa bisa"
Adri Susanti,2,2024-09-29 01:11:35,kenapa mau login jadi susah sih padahal dulu mudah ajah...tolong lah diperbaiki
Alexzsader Alex,5,2024-09-29 01:10:28,Hiy semuwa semogah suksez
Alex Afrihan,1,2024-09-29 01:07:14,kode verifikasi tak mau keluar
yab_3,1,2024-09-29 01:02:37,"Kode dikirim ke pesan telegram anda Oiiii, masuk aja gak bisa, gimana cara liat pesan telegram"
Raihan Muhammad,1,2024-09-29 00:58:26,"login tidak bisa, sms tidak masuk, payah"
alya rosalina,1,2024-09-29 00:46:05,"tolong perbaiki, setiap daftar dengan nomor yg baru tidak pernah ada masuk kode verifikasi"
Yance Siahaya,5,2024-09-29 00:44:51,Knp kodenya blm masuk kha
Mi12 Lite,1,2024-09-29 00:37:11,Ampass system sms code gak masuk
Nining Suryaningsih,2,2024-09-29 00:33:50,Kenapa ngga dapet kode terus dari kemarin... padahal mau pake telegram lagi
Rama Rosad,1,2024-09-29 00:30:29,Kenapa saya tidak bisa membeli bintang/stars lagi???
taufiq nurcholis,1,2024-09-29 00:25:55,aplikasi apa ini login kok susahh 👎👎👎
Rio Rio,1,2024-09-29 00:16:30,Aplikasi busuk ga bisa log in/daftar susah banget ga usah di install!!!
Frida S,3,2024-09-29 00:02:00,Kenapa ketika login selalu tidak menerima kode verifikasi melalui SMS padahal nomer handphone sudah benar
Yeni Nur 123,1,2024-09-29 00:00:33,Nomor sudah benar tapi kodenya gak dikirim kirim
indah purnama,1,2024-09-28 23:49:20,Cara log in nya bagaimana woiii Nunggu kode gak dikirim2 telepon jg gak ada sama sekalipun
Zikrul Khaq,1,2024-09-28 23:42:55,"Loginnya susah banget,bertele tele harus lewat aplikasi telegram pula gabisa lewat SMS atau wa,hadeh hadeh udah gitu fitur login via akun google dihapus lagi kan aneh"
Cep Tedi Gunawan,1,2024-09-28 23:37:54,Apk tegram makin sini makin ribet masuknya. Code Email sudah benar salah Mulu. Kirim code via SMS gak bisa makin males buka ni app.
Nuraisyah,1,2024-09-28 23:33:12,"tidak menerima kode verifikasi saat ingin login,sudah di coba berkali kali dan masih tetep dengan hasil yg sama😓"
Ririn Woel,1,2024-09-28 23:21:58,Solusinya gimana gaes yg log in ga bisa dapet kode otp aq udah coba beberapa kali ga bisa2 gimana caranya dong biar ada kode otp nya
PREMIUM Ya bg,1,2024-09-28 23:19:32,Aplikasi gak jelas kenapa kode verifikasi nya gak muncul oy perbaiki lah aplikasi nya Kukasih bintang 1 karna aplikasi nya gak jelas
Risandi budi Ariyanto,1,2024-09-28 22:52:55,"aplikasi gajelas, gabisa ngirim kode Verifikasi"
Ahmad Yasit,1,2024-09-28 22:44:40,Eror gk bisa masuk Nunggu kode dari telegram gk ada notifikasi
Ijoel Keriting,1,2024-09-28 22:43:07,Telegram sekarang tidak bisa mencari pengguna di sekitar.
Faz Xsts,1,2024-09-28 22:42:58,"mau buat akun aja susahnya minta ampun, mending buat kek fb lah"
Munchen City,2,2024-09-28 22:40:40,Kode OTP susah masuk. Tolong segera perbaiki secepatnya. terimakasih
Rizky Amelia Puspito Intan,1,2024-09-28 22:24:31,"Beberapa hari TDK buku telegram,sekalinya masuk disuruh masukkan no TLP lagi seperti awal,tapi waktu confirm no kode otp prosesnya lama sekali bahkan tidak dikirim² kodenya..👎👎"
Diyah indawati Indawati,5,2024-09-28 22:24:27,Selalu di gunakan untuk kegiatan kerja
Lima Jari,3,2024-09-28 22:16:00,"open the wallet blankly, it won't open...why?? even though there is still a balance...it's difficult to withdraw the balance"
Aditya Saputra,1,2024-09-28 22:00:04,People nearby nya kok hilang
bram bram,1,2024-09-28 21:13:58,gabisa terima kode otp. aplikasi gaguna
Aam Sory,5,2024-09-28 21:09:33,Ok
Andres Jeivi Jacob,1,2024-09-28 21:02:36,"Akun telegram saya kena dibanned, padahal tidak melakukan pelanggaran sama sekali. Bisa kah di kembalikan semua tanpa kehilangan data. Terimakasih."
Ema Maesarohmaesaroh,5,2024-09-28 20:50:22,Aku
Far Adityak3,5,2024-09-28 20:31:16,Bagus buat nonton bokep
SYAFRIMAN MANDAI,5,2024-09-28 20:08:10,Telegram mohn di bantu akun saya ke blokir
Jauhari tajau,1,2024-09-28 20:06:12,gak bisa log in daru kemarin...pdhl nomer hpnya sudah benar
Perhat Pratama,1,2024-09-28 20:02:14,Code login error
Muhammad Rafi,1,2024-09-28 19:55:51,Can't log in or register on Telegram.Waiting for the verification code which is difficult or maybe can't be obtained.Tried many times and the results are the same.Even though I need to do an assignment. Thank You.
asyifa putri rana dani,5,2024-09-28 19:47:53,yuhuu
ASUKAアスカ,1,2024-09-28 19:21:45,LOGINNYA SUSAH BANGET 😡🤬
Ahmad Zamzami,5,2024-09-28 19:16:50,Oke
asayorihs Ken,1,2024-09-28 19:14:25,"Apk nguaworr, ga bisa login"
